0,1,2,3,4,5,6,7,8,9,label
51.0,55.0,41.0,96.0,19.0,94.0,19.0,95.0,56.0,52.0,false
52.0,75.0,64.0,66.0,46.0,71.0,46.0,55.0,58.0,52.0,false
52.0,55.0,41.0,96.0,19.0,94.0,19.0,88.0,58.0,52.0,false
52.0,75.0,93.0,110.0,0.0,116.0,0.0,114.0,58.0,52.0,false
51.0,55.0,32.0,6.0,106.0,7.0,116.0,67.0,58.0,52.0,false
51.0,75.0,21.0,86.0,29.0,84.0,29.0,51.0,57.0,65.0,false
64.0,74.0,21.0,86.0,29.0,84.0,29.0,55.0,57.0,65.0,false
64.0,75.0,21.0,86.0,29.0,84.0,30.0,59.0,57.0,65.0,false
64.0,60.0,32.0,6.0,106.0,0.0,116.0,0.0,58.0,52.0,false
51.0,55.0,41.0,96.0,19.0,94.0,19.0,56.0,56.0,51.0,false
51.0,60.0,81.0,106.0,7.0,106.0,7.0,54.0,57.0,64.0,false
64.0,60.0,74.0,17.0,94.0,19.0,94.0,66.0,56.0,64.0,false
64.0,55.0,74.0,17.0,94.0,19.0,94.0,60.0,56.0,64.0,false
64.0,38.0,21.0,3.0,115.0,0.0,115.0,56.0,57.0,64.0,false
